mouse.time,mouse.clicked_name,num_distr,,,,,
2.1226527,['target'],5,,,,,
2.095411,['target'],10,,,,,
1.5396721,['target'],5,,,,,
1.5367269,['target'],5,,,,,
2.5784339,['target'],10,,,,,
3.4617656,['target'],10,,,,,
1.45583,['target'],5,,,,,
1.8635865,['target'],10,,,,,
1.8123112,['target'],10,,,,,
2.3218424,[None],5,,,,,
4.4607464,['target'],10,,,,,
2.424592,['target'],5,,,,,
1.4289001,['target'],10,,,,,
1.5851924,['target'],5,,,,,
