reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,l,56.69385699997656,None,0,0,0,3,0.07469749997835606,,0.07185589999426156,0.07469749997835606,0.9964404999627732,0.9964404999627732,1.071515899966471,57.705657099955715,l,56.69385699997656,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
11,30,7,1,1,0,t,13.700985500006936,None,0,1,1,0,57.71755399997346,,57.71421379997628,57.71755399997346,58.70354659995064,58.70354659995064,58.712035899981856,72.41267089999747,t,13.700985500006936,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
67,75,119,2,2,0,t,23.934972400020342,None,0,2,2,5,72.42212819994893,,72.41975559998536,72.42212819994893,73.41173569997773,73.41173569997773,73.42067999998108,97.35378659999697,t,23.934972400020342,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
78,80,162,3,3,0,l,29.811525500030257,None,0,3,3,6,97.36470729997382,,97.36201629997231,97.36470729997382,98.3444624999538,98.3444624999538,98.36130109999795,128.16147069999715,l,29.811525500030257,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
15,35,13,4,4,0,l,8.833409899962135,None,0,4,4,1,128.17034959996818,,128.16692859999603,128.17034959996818,129.1522135999985,129.1522135999985,129.16929699998582,137.9866349999793,l,8.833409899962135,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
27,50,21,5,5,0,l,0.9919137999531813,None,0,5,5,2,137.99493119999534,,137.99205909995362,137.99493119999534,138.98564309999347,138.98564309999347,138.9939480999601,139.9856504999916,l,0.9919137999531813,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
49,60,89,6,6,0,l,1.805023099994287,None,0,6,6,4,139.99368509999476,,139.99063259997638,139.99368509999476,140.97699779999675,140.97699779999675,140.98570939997444,142.7860022999812,l,1.805023099994287,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
40,55,62,7,0,1,l,2.978206300002057,None,1,0,7,3,142.79446789994836,,142.79131919995416,142.79446789994836,143.77656869997736,143.77656869997736,143.79350149998209,146.76125519996276,l,2.978206300002057,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
78,80,162,8,1,1,t,0.7249747999594547,None,1,1,8,6,146.76823309995234,,146.7656575999572,146.76823309995234,147.7519212999614,147.7519212999614,147.76073549996363,148.47759949998,t,0.7249747999594547,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
11,30,7,9,2,1,t,1.2307405999745242,None,1,2,9,0,148.48536219995003,,148.48239969997667,148.48536219995003,149.46905819996027,149.46905819996027,149.4769383999519,150.70207079994725,t,1.2307405999745242,None,712844,001,2025-11-03_09h59.58.009,delay discounting,,2025.1.1,119.68121707924662,2025-11-03 10h00.04.400000 +0530,
