reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,27.858738900045864,None,0,0,0,1,0.07689089997438714,,0.07382430002326146,0.07689089997438714,0.9966753000044264,0.9966753000044264,1.071364099974744,28.870699700026307,l,27.858738900045864,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
78,80,162,1,1,0,t,6.575193600030616,None,0,1,1,6,28.88482400000794,,28.881878099986352,28.88482400000794,29.862716000003275,29.862716000003275,29.87927730003139,36.446166799985804,t,6.575193600030616,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
27,50,21,2,2,0,l,11.554272299981676,None,0,2,2,2,36.45350080000935,,36.45077130000573,36.45350080000935,37.43753709999146,37.43753709999146,37.44575850002002,48.99672210001154,l,11.554272299981676,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
11,30,7,3,3,0,l,7.3546843999647535,None,0,3,3,0,49.005029699997976,,49.002238299988676,49.005029699997976,49.995240700023714,49.995240700023714,50.003701800014824,57.35404349997407,l,7.3546843999647535,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
40,55,62,4,4,0,t,3.242424199997913,None,0,4,4,3,57.363252600014675,,57.36039320001146,57.363252600014675,58.345674799988046,58.345674799988046,58.35420950001571,61.596188199997414,t,3.242424199997913,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
49,60,89,5,5,0,t,2.5730853999848478,None,0,5,5,4,61.60646470001666,,61.603827200015076,61.60646470001666,62.5871248000185,62.5871248000185,62.60370839998359,65.16356020001695,t,2.5730853999848478,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
67,75,119,6,6,0,t,3.5723884000326507,None,0,6,6,5,65.17241310002282,,65.16931249998743,65.17241310002282,66.16175839997595,66.16175839997595,66.17035229998874,69.737268100027,t,3.5723884000326507,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
15,35,13,7,0,1,l,2.88369019998936,None,1,0,7,1,69.7450415000203,,69.74200610001571,69.7450415000203,70.72815300000366,70.72815300000366,70.73691269999836,73.61289699998451,l,2.88369019998936,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
67,75,119,8,1,1,t,6.700749100011308,None,1,1,8,5,73.62261999998009,,73.61963119998109,73.62261999998009,74.61163280002074,74.61163280002074,74.61982700001681,81.3211349999765,t,6.700749100011308,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
78,80,162,9,2,1,t,3.518505099986214,None,1,2,9,6,81.32839749997947,,81.32580220000818,81.32839749997947,82.32164009998087,82.32164009998087,82.32164009998087,85.8452249999973,t,3.518505099986214,None,707177,001,2025-11-03_09h32.38.498,delay discounting,,2025.1.1,119.6272414902909,2025-11-03 09h32.44.549456 +0530,
