thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
68,0,68,up,1,0.6334744000341743,None,0,68,0,68,0,145.4166512999218,,145.39977500005625,145.4166512999218,146.39960110001266,146.4140325000044,147.04793359991163,up,1,0.6334744000341743,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
69,0,69,up,1,0.6053985999897122,None,0,69,0,69,0,147.06549489987083,,147.0483067999594,147.06549489987083,148.04820959991775,148.06329540000297,148.66315669985488,up,1,0.6053985999897122,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
70,0,70,up,1,0.7552489000372589,None,0,70,0,70,0,148.68113459995948,,148.66353819984943,148.68113459995948,149.66337600001134,149.69482830003835,150.4282811000012,up,1,0.7552489000372589,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
71,0,71,up,1,2.5841848000418395,None,0,71,0,71,0,150.44610479986295,,150.42866449989378,150.44610479986295,151.42872489988804,151.44378169998527,154.02537839999422,up,1,2.5841848000418395,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
72,0,72,up,1,0.8811007000040263,None,0,72,0,72,0,154.04290400003083,,154.02574539999478,154.04290400003083,155.02568279998377,155.04063909989782,155.92352559999563,up,1,0.8811007000040263,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
73,0,73,up,0,0.5463723000138998,None,1,73,0,73,0,155.9420197000727,,155.9237637000624,155.9420197000727,156.92412290000357,156.95539689995348,157.47206649999134,up,0,0.5463723000138998,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
74,0,74,up,0,0.5780582001898438,None,-5,74,0,74,0,157.4902709000744,,157.47227939986624,157.4902709000744,158.47258599987254,158.50414630002342,159.0538848999422,up,0,0.5780582001898438,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
75,0,75,up,1,0.6014622000511736,None,0,75,0,75,0,159.07236950006336,,159.05406309990212,159.07236950006336,160.05531219998375,160.06961579993367,160.6693831998855,up,1,0.6014622000511736,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
76,0,76,up,1,0.46876899991184473,None,0,76,0,76,0,160.68798339995556,,160.66954330005683,160.68798339995556,161.67047360003926,161.68497209995985,162.15278419991955,up,1,0.46876899991184473,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
77,0,77,up,1,0.5694405999965966,None,0,77,0,77,0,162.1696893000044,,162.15304240002297,162.1696893000044,163.15250690001994,163.16704109986313,163.73389989999123,up,1,0.5694405999965966,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
