study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
tiger,0,0,0,1.488888889,2.0213721,,,,,,,,,,0,0,0,1,,,,,0.0276386,,0.0154039,0.0276386,0.0276386,2.0543117,1.488888889,2.0213721,,,,,,,,,,,,,,,452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
piano,1,1,0,1.737037037,1.1602953,,,,,,,,,,0,1,1,4,,,,,2.068653,,2.0593805,2.068653,2.068653,3.2349799,1.737037037,1.1602953,,,,,,,,,,,,,,,452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
cushion,2,2,0,1.311111111,2.9292137,,,,,,,,,,0,2,2,3,,,,,3.2512825,,3.2379024,3.2512825,3.2512825,6.1825668,1.311111111,2.9292137,,,,,,,,,,,,,,,452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
vase,3,3,0,2.044444444,2.3454641,,,,,,,,,,0,3,3,0,,,,,6.1985358,,6.1855518,6.1985358,6.1985358,8.5473973,2.044444444,2.3454641,,,,,,,,,,,,,,,452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
book,4,4,0,1.085185185,2.1311634,,,,,,,,,,0,4,4,2,,,,,8.5633507,,8.548957,8.5633507,8.5633507,10.6954879,1.085185185,2.1311634,,,,,,,,,,,,,,,452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,0,0,0,,,_o_s_,,[],[],[],[],[],[],[],,,,,0,0,0,8,10.7118035,,,,,,,,10.7021632,10.7118035,10.7118035,10.7118035,0.0066768,20.7035399,,[],[],[],[],[],[],[],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,1,1,0,,,_p_a_d_,,[],[],[],[],[],[],[],,,,,0,1,1,7,20.7198586,,,,,,,,20.7070819,20.7198586,20.7198586,20.7198586,0.0115964,30.712157,,[],[],[],[],[],[],[],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,2,2,0,,,_ia_n_,"piano
",[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[5.144635500037111],['text_3'],,,,,0,2,2,4,30.7284002,,,,,,,,30.7138898,30.7284002,30.7284002,30.7284002,0.0183942,35.8586821,"piano
",[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[5.144635500037111],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,3,3,0,,,_ea_o_,,[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[1.9126323000527918],['text_3'],,,,,0,3,3,5,35.8745267,,,,,,,,35.8603098,35.8745267,35.8745267,35.8745267,0.0015522,37.7730835,,[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[1.9126323000527918],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,4,4,0,,,c_s_h_o_n,cushion,[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[3.362451900029555],['text_3'],,,,,0,4,4,3,37.7893003,,,,,,,,37.7746221,37.7893003,37.7893003,37.7893003,0.0015043,41.1372708,cushion,[np.float64(-0.05277777777777778)],[np.float64(-0.31666666666666665)],[1],[0],[0],[3.362451900029555],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,5,5,0,,,_a_e,bane,[np.float64(-0.08333333333333333)],[np.float64(-0.30092592592592593)],[1],[0],[0],[4.460765100084245],['text_3'],,,,,0,5,5,0,41.1531828,,,,,,,,41.1395831,41.1531828,41.1531828,41.1531828,0.0022617,45.6006548,bane,[np.float64(-0.08333333333333333)],[np.float64(-0.30092592592592593)],[1],[0],[0],[4.460765100084245],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,6,6,0,,,o_a_n_e,,[np.float64(-0.10648148148148148)],[np.float64(-0.3055555555555556)],[1],[0],[0],[6.375387000036426],['text_3'],,,,,0,6,6,9,45.6162932,,,,,,,,45.6026201,45.6162932,45.6162932,45.6162932,0.0019057,51.9782083,,[np.float64(-0.10648148148148148)],[np.float64(-0.3055555555555556)],[1],[0],[0],[6.375387000036426],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,7,7,0,,,_oo_,pooh,[np.float64(-0.1361111111111111)],[np.float64(-0.30277777777777776)],[1],[0],[0],[3.7282388999592513],['text_3'],,,,,0,7,7,2,51.9943011,,,,,,,,51.9803968,51.9943011,51.9943011,51.9943011,0.0020983,55.7088406,pooh,[np.float64(-0.1361111111111111)],[np.float64(-0.30277777777777776)],[1],[0],[0],[3.7282388999592513],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,8,8,0,,,c_m_r_,camera,[np.float64(-0.15185185185185185)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.028281299979426],['text_3'],,,,,0,8,8,6,55.7247497,,,,,,,,55.7103428,55.7247497,55.7247497,55.7247497,0.0014317,59.7388137,camera,[np.float64(-0.15185185185185185)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.028281299979426],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,9,9,0,,,t_g_r,tiger,[np.float64(-0.11481481481481481)],[np.float64(-0.30185185185185187)],[1],[0],[0],[2.8625199999660254],['text_3'],,,,,0,9,9,1,59.755367,,,,,,,,59.740634,59.755367,59.755367,59.755367,0.0016533,62.6033178,tiger,[np.float64(-0.11481481481481481)],[np.float64(-0.30185185185185187)],[1],[0],[0],[2.8625199999660254],['text_3'],452830,1,2025-10-14_16h16.59.574,word priminig,,2025.1.1,60.09048425,2025-10-14 16h17.03.566614 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prop hit from study list ,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prop hit from nonprimed words,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prime score,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
