study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,_oo_,noon,"[np.float64(-0.44907407407407407), np.float64(-0.44907407407407407), np.float64(-0.032407407407407406)]","[np.float64(-0.31296296296296294), np.float64(-0.31296296296296294), np.float64(-0.3111111111111111)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.04431080003269017, 0.19379410007968545, 7.654367000097409]","[None, None, 'text_3']",,,,,0,0,0,2,3.7314684,,,,,,,,3.7216023,3.7314684,3.7314684,3.7314684,0.0063327,11.3761733,noon,"[np.float64(-0.44907407407407407), np.float64(-0.44907407407407407), np.float64(-0.032407407407407406)]","[np.float64(-0.31296296296296294), np.float64(-0.31296296296296294), np.float64(-0.3111111111111111)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.04431080003269017, 0.19379410007968545, 7.654367000097409]","[None, None, 'text_3']",37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,1,1,0,,,c_s_h_o_n,cushion,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[5.30923240003176],['text_3'],,,,,0,1,1,3,11.3921141,,,,,,,,11.378853,11.3921141,11.3921141,11.3921141,0.0024924,16.6882706,cushion,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[5.30923240003176],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,2,2,0,,,t_g_r,tiger,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.9128077999921516],['text_3'],,,,,0,2,2,1,16.7039687,,,,,,,,16.6897935,16.7039687,16.7039687,16.7039687,0.0014529,19.6028114,tiger,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.9128077999921516],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,3,3,0,,,_p_a_d_,,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[1.7619961999589577],['text_3'],,,,,0,3,3,7,19.6185923,,,,,,,,19.6059005,19.6185923,19.6185923,19.6185923,0.0029966,21.3681234,,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[1.7619961999589577],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,4,4,0,,,o_a_n_e,orange,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.9111093999817967],['text_3'],,,,,0,4,4,9,21.3835877,,,,,,,,21.3700817,21.3835877,21.3835877,21.3835877,0.0018849,25.2813989,orange,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.9111093999817967],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,5,5,0,,,_a_e,cave,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[6.375015199999325],['text_3'],,,,,0,5,5,0,25.2969707,,,,,,,,25.2840918,25.2969707,25.2969707,25.2969707,0.0025913,31.6593882,cave,[np.float64(-0.06111111111111111)],[np.float64(-0.30925925925925923)],[1],[0],[0],[6.375015199999325],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,6,6,0,,,_ia_n_,piano,[np.float64(-0.09537037037037037)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.528426800039597],['text_3'],,,,,0,6,6,4,31.6752116,,,,,,,,31.6613605,31.6752116,31.6752116,31.6752116,0.0018468,35.1899446,piano,[np.float64(-0.09537037037037037)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.528426800039597],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,7,7,0,,,c_m_r_,camera,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[2.8293007999891415],['text_3'],,,,,0,7,7,6,35.2055593,,,,,,,,35.1915486,35.2055593,35.2055593,35.2055593,0.0015443,38.0210076,camera,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[2.8293007999891415],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,8,8,0,,,_ea_o_,,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[1.5970396000193432],['text_3'],,,,,0,8,8,5,38.0365226,,,,,,,,38.0225299,38.0365226,38.0365226,38.0365226,0.0014626,39.6197285,,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[1.5970396000193432],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
,9,9,0,,,_o_s_,,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[1.1789289999287575],['text_3'],,,,,0,9,9,8,39.6360427,,,,,,,,39.6229289,39.6360427,39.6360427,39.6360427,0.0031381,40.8020822,,[np.float64(-0.11388888888888889)],[np.float64(-0.3)],[1],[0],[0],[1.1789289999287575],['text_3'],37349,1,2025-10-14_16h18.16.749,word priminig,,2025.1.1,61.25799419,2025-10-14 16h18.19.971258 +0530
