pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,x,0,0,0,z,0,4.894017900107428,None,0,0,0,0,,,,,0.008143800077959895,,0.005869300104677677,0.008143800077959895,1.0139338001608849,1.0139338001608849,1.0139338001608849,1.0139338001608849,1.0139338001608849,2.012628800002858,2.012628800002858,6.913799399975687,z,0,4.894017900107428,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-50,v,1,1,0,x,0,1.2659675001632422,None,0,1,1,1,,,,,6.925031500170007,,6.913987700128928,6.925031500170007,7.924743700074032,7.924743700074032,7.924743700074032,7.924743700074032,7.924743700074032,8.923864300129935,8.923864300129935,10.190330800134689,x,0,1.2659675001632422,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
50,c,2,2,0,c,1,1.1130832000635564,None,0,2,2,2,,,,,10.205950600095093,,10.190604600124061,10.205950600095093,11.205423800041899,11.205423800041899,11.205423800041899,11.205423800041899,11.205423800041899,12.204663400072604,12.204663400072604,13.32028970005922,c,1,1.1130832000635564,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
150,z,3,3,0,v,0,1.2674700999632478,None,0,3,3,3,,,,,13.336946900002658,,13.320599500089884,13.336946900002658,14.352693400112912,14.31904219998978,14.31904219998978,14.31904219998978,14.31904219998978,15.335063100093976,15.335063100093976,16.617853900184855,v,0,1.2674700999632478,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-150,x,4,0,1,z,0,0.9261274000164121,None,1,0,4,0,,,,,16.63430350017734,,16.618094800040126,16.63430350017734,17.649775800062343,17.634341299999505,17.634341299999505,17.634341299999505,17.634341299999505,18.63248739996925,18.63248739996925,19.56547180004418,z,0,0.9261274000164121,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-50,v,5,1,1,x,0,0.725233499892056,None,1,1,5,1,,,,,19.581365799997002,,19.56570910010487,19.581365799997002,20.581122500123456,20.581122500123456,20.581122500123456,20.581122500123456,20.581122500123456,21.580053700134158,21.580053700134158,22.31320030009374,x,0,0.725233499892056,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
50,c,6,2,1,c,1,1.4297555000521243,None,1,2,6,2,,,,,22.329579600133002,,22.313514600042254,22.329579600133002,23.32856210018508,23.32856210018508,23.32856210018508,23.32856210018508,23.32856210018508,24.328109299996868,24.328109299996868,25.76018360001035,c,1,1.4297555000521243,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
150,z,7,3,1,v,0,1.0790273000020534,None,1,3,7,3,,,,,25.776612100191414,,25.76069590006955,25.776612100191414,26.775735300034285,26.759057000046596,26.759057000046596,26.759057000046596,26.759057000046596,27.77474940009415,27.77474940009415,28.85847800015472,v,0,1.0790273000020534,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-150,x,8,0,2,z,0,9.874106399947777,None,2,0,8,0,,,,,28.873945100000128,,28.858910200186074,28.873945100000128,29.889759900048375,29.87304130010307,29.87304130010307,29.87304130010307,29.87304130010307,30.872400500113145,30.872400500113145,40.748044800013304,z,0,9.874106399947777,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-50,v,9,1,2,x,0,0.9487915001809597,None,2,1,9,1,,,,,40.76430180016905,,40.748507500160486,40.76430180016905,41.77986520016566,41.76333290012553,41.76333290012553,41.76333290012553,41.76333290012553,42.762453000061214,42.762453000061214,43.712189600104466,x,0,0.9487915001809597,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
50,c,10,2,2,c,1,0.827044100034982,None,2,2,10,2,,,,,43.728366600116715,,43.71244390006177,43.728366600116715,44.72829040000215,44.72829040000215,44.72829040000215,44.72829040000215,44.72829040000215,45.709989400114864,45.709989400114864,46.54335410008207,c,1,0.827044100034982,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
150,z,11,3,2,v,0,0.4098093998618424,None,2,3,11,3,,,,,46.55959940003231,,46.54378639999777,46.55959940003231,47.55871400004253,47.55871400004253,47.55871400004253,47.55871400004253,47.55871400004253,48.5578797000926,48.5578797000926,48.97498930012807,v,0,0.4098093998618424,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-150,x,12,0,3,z,0,0.40479950001463294,None,3,0,12,0,,,,,48.990878500044346,,48.97544850013219,48.990878500044346,49.98985969997011,49.98985969997011,49.98985969997011,49.98985969997011,49.98985969997011,50.98951260000467,50.98951260000467,51.40587990009226,z,0,0.40479950001463294,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
-50,v,13,1,3,x,0,0.43335369997657835,None,3,1,13,1,,,,,51.42207260010764,,51.40607270016335,51.42207260010764,52.42138920002617,52.42138920002617,52.42138920002617,52.42138920002617,52.42138920002617,53.42064630007371,53.42064630007371,53.87078160000965,x,0,0.43335369997657835,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
50,c,14,2,3,c,1,0.4181570000946522,None,3,2,14,2,,,,,53.886901900172234,,53.87108239997178,53.886901900172234,54.902538100024685,54.88583180005662,54.88583180005662,54.88583180005662,54.88583180005662,55.88519680011086,55.88519680011086,56.31853509997018,c,1,0.4181570000946522,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
150,z,15,3,3,v,0,0.3729989998973906,None,3,3,15,3,,,,,56.334629100048915,,56.31880460004322,56.334629100048915,57.33370449999347,57.33370449999347,57.33370449999347,57.33370449999347,57.33370449999347,58.333211600081995,58.333211600081995,58.716777000110596,v,0,0.3729989998973906,None,,,,,773587,001,2025-10-02_21h51.03.181,motor sequence,,2025.1.1,60.27258876655215,2025-10-02 21h51.06.203059 +0530,
