reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,l,33.256210800027475,None,0,0,0,5,0.07629929995164275,,0.07268469996051863,0.07629929995164275,0.9895689999684691,0.9895689999684691,1.0726192999863997,34.256483100005426,l,33.256210800027475,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
15,35,13,1,1,0,l,8.920474399987143,None,0,1,1,1,34.26706339995144,,34.26294579997193,34.26706339995144,35.254732300003525,35.254732300003525,35.2633600999834,44.1809311999823,l,8.920474399987143,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
27,50,21,2,2,0,t,4.777043499983847,None,0,2,2,2,44.19330479996279,,44.1904856999754,44.19330479996279,45.18017799995141,45.18017799995141,45.18872239999473,49.964208899997175,t,4.777043499983847,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
49,60,89,3,3,0,l,3.6803583999862894,None,0,3,3,4,49.976301399990916,,49.973638299969025,49.976301399990916,50.95472989999689,50.95472989999689,50.97176479996415,54.63871129998006,l,3.6803583999862894,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
40,55,62,4,4,0,t,7.237290000019129,None,0,4,4,3,54.646619999955874,,54.64364579995163,54.646619999955874,55.629459899966605,55.629459899966605,55.637904200004414,62.87215259997174,t,7.237290000019129,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
11,30,7,5,5,0,l,3.0121440999791957,None,0,5,5,0,62.88191979995463,,62.87871339998674,62.88191979995463,63.86306449997937,63.86306449997937,63.879333599994425,66.88035359996138,l,3.0121440999791957,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
78,80,162,6,6,0,t,3.5742779999854974,None,0,6,6,6,66.89180179999676,,66.88804519997211,66.89180179999676,67.87115069996798,67.87115069996798,67.88782069995068,71.44745289999992,t,3.5742779999854974,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
67,75,119,7,0,1,t,4.253874399990309,None,1,0,7,5,71.45570910000242,,71.45280169998296,71.45570910000242,72.44589889998315,72.44589889998315,72.44589889998315,76.70511979999719,t,4.253874399990309,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
11,30,7,8,1,1,l,3.4474997999495827,None,1,1,8,0,76.71307229995728,,76.7097356999875,76.71307229995728,77.69607939996058,77.69607939996058,77.70463979995111,81.14683979999973,l,3.4474997999495827,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
27,50,21,9,2,1,t,2.601333099999465,None,1,2,9,2,81.15545059996657,,81.15249479998602,81.15545059996657,82.1377088999725,82.1377088999725,82.15449829999125,84.74668159999419,t,2.601333099999465,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
49,60,89,10,3,1,t,5.377808400022332,None,1,3,10,4,84.7537078000023,,84.75123439996969,84.7537078000023,85.73768179997569,85.73768179997569,85.74585999996634,91.12189339997713,t,5.377808400022332,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
78,80,162,11,4,1,t,2.154845100012608,None,1,4,11,6,91.13131929998053,,91.12825159996282,91.13131929998053,92.12169219995849,92.12169219995849,92.12925559998257,94.2796556999674,t,2.154845100012608,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
40,55,62,12,5,1,t,2.103585100034252,None,1,5,12,3,94.28831069997977,,94.2845890999888,94.28831069997977,95.27050049998797,95.27050049998797,95.28763699997216,97.37995919998502,t,2.103585100034252,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
15,35,13,13,6,1,l,5.409758399997372,None,1,6,13,1,97.38925079995533,,97.38644899998326,97.38925079995533,98.3707467999775,98.3707467999775,98.3873013999546,103.78792420000536,l,5.409758399997372,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
11,30,7,14,0,2,l,3.570734300010372,None,2,0,14,0,103.79575249995105,,103.79332850000355,103.79575249995105,104.77864569996018,104.77864569996018,104.78734229999827,108.35490499995649,l,3.570734300010372,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
49,60,89,15,1,2,t,1.9706454999977723,None,2,1,15,4,108.36305399995763,,108.36015139997471,108.36305399995763,109.35440289997496,109.35440289997496,109.35440289997496,111.32994319999125,t,1.9706454999977723,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
40,55,62,16,2,2,t,2.3988446000148542,None,2,2,16,3,111.33906049997313,,111.33596729999408,111.33906049997313,112.32056219998049,112.32056219998049,112.33730439998908,114.72159059997648,t,2.3988446000148542,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
78,80,162,17,3,2,t,1.8243208000203595,None,2,3,17,6,114.72987260000082,,114.7267686999985,114.72987260000082,115.72038660000544,115.72038660000544,115.72862680000253,117.54673329996876,t,1.8243208000203595,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
27,50,21,18,4,2,l,5.049601799983066,None,2,4,18,2,117.55575249996036,,117.55269719997887,117.55575249996036,118.54525159997866,118.54525159997866,118.55355909996433,123.5965634000022,l,5.049601799983066,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
15,35,13,19,5,2,l,4.854693199973553,None,2,5,19,1,123.60482959996443,,123.60175029997481,123.60482959996443,124.5952880999539,124.5952880999539,124.60437259997707,129.45448929996928,l,4.854693199973553,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
67,75,119,20,6,2,t,7.7700858999742195,None,2,6,20,5,129.46376939996844,,129.46029179997277,129.46376939996844,130.4529021999915,130.4529021999915,130.462555599981,138.22930269996868,t,7.7700858999742195,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
49,60,89,21,0,3,l,2.498964300029911,None,3,0,21,4,138.23810109996703,,138.2352434999775,138.23810109996703,139.2199827999575,139.2199827999575,139.23669609997887,141.7201840999769,l,2.498964300029911,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
27,50,21,22,1,3,l,3.454635000030976,None,3,1,22,2,141.72781879996182,,141.7241288999794,141.72781879996182,142.71163099998375,142.71163099998375,142.71992730000056,146.17061430000467,l,3.454635000030976,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
78,80,162,23,2,3,t,2.493974499986507,None,3,2,23,6,146.17860459996155,,146.17545669997344,146.17860459996155,147.16123699996388,147.16123699996388,147.17045269999653,149.66223809996154,t,2.493974499986507,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
67,75,119,24,3,3,t,2.511603200051468,None,3,3,24,5,149.67022839997662,,149.6676359999692,149.67022839997662,150.656466299959,150.656466299959,150.66098819999024,153.17058330000145,t,2.511603200051468,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
40,55,62,25,4,3,t,2.681700900022406,None,3,4,25,3,153.1798667999683,,153.17679789999966,153.1798667999683,154.1616767999949,154.1616767999949,154.17793629999505,156.845668199996,t,2.681700900022406,None,934637,001,2025-11-03_09h44.11.382,delay discounting,,2025.1.1,120.24549327658234,2025-11-03 09h44.14.524500 +0530,
