word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.020381900016218424,,0.01451519998954609,0.020381900016218424,1.0056360000162385,,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
chair,1,1,0,0,1,1,1,1.0138647999847308,,1.009061600023415,1.0138647999847308,1.9975064999889582,2.005187700036913,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
music,2,2,0,0,2,2,2,2.005187700036913,,2.0008158999844454,2.005187700036913,2.990378900023643,2.9970694000367075,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
dream,3,3,0,0,3,3,3,2.9970694000367075,,2.9935724000097252,2.9970694000367075,3.981058800010942,3.9886672000284307,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
paper,4,4,0,0,4,4,4,3.9886672000284307,,3.985522700008005,3.9973008999950252,4.9807496999856085,4.988756800012197,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
tiger,5,5,0,0,5,5,5,4.988756800012197,,4.984222600003704,4.997208499989938,5.9805490000289865,5.988412100006826,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
window,6,6,0,0,6,6,6,5.988412100006826,,5.983366600004956,5.9970608000294305,6.980462900013663,6.988679500005674,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
flower,7,7,0,0,7,7,7,6.988679500005674,,6.983486299985088,6.997092999983579,7.980642399983481,7.988723399990704,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
book,8,8,0,0,8,8,8,7.988723399990704,,7.98333580000326,7.996974400011823,8.980755200027488,8.98874350002734,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
lamp,9,9,0,0,9,9,9,8.98874350002734,,8.983834100014064,8.997222800040618,9.981433800014202,9.990714000014123,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
ocean,10,10,0,0,10,10,10,9.990714000014123,,9.98777860001428,9.996984100027476,10.981877100013662,10.988697400025558,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
phone,11,11,0,0,11,11,11,10.988697400025558,,10.985599500010721,10.997373400023207,11.981176700035576,11.988585399987642,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
candle,12,12,0,0,12,12,12,11.988585399987642,,11.985949299996719,11.99717960000271,12.981044700019993,12.988641100004315,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
spoon,13,13,0,0,13,13,13,12.988641100004315,,12.986070699989796,12.99693710001884,13.980750999995507,13.989027400035411,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
shoe,14,14,0,0,14,14,14,13.989027400035411,,13.984414400008973,13.99720330000855,14.980772399983834,14.988746699993499,,,,,,,,,,,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
,,,,,,,,,,,,,,14.981988699990325,15.001696399995126,15.001696399995126,15.001696399995126,34.10574450000422,apple chair music dream tiger shoes ,return,19.099963999993633,None,apple chair music dream tiger shoes ,,,,,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,34.10582639998756,34.113388400000986,36.10514440003317,36.097288999997545,869907,001,2025-11-24_00h59.12.271,Serial Position Effect_SoloProject,,2025.1.1,119.61293249946303,2025-11-24 00h59.15.846870 +0530,
