mouse.time,mouse.clicked_name,num_distr,,,,,,,mouse.time,,,,mouse.time
3.8892302,target,5,,,,,,,7.7576775,,2.8488284,,
3.0522383,target,5,,,,,,,2.5710724,,4.1782507,,
3.9440248,target,10,,,,,,,1.8046086,,2.2982931,,
4.9764003,target,10,,,,,,,2.0449661,,2.8271836,,
4.8174086,target,5,,,,,,,3.1990739,,1.6952642,,
1.7739256,target,5,,,,,,,2.7019397,,2.8461863,,
[4.445238700136542],None,10,,,,,,,13.0029129,,2.862274,,
2.8981581,target,10,,,,,,,2.1371299,,,,
4.9941488,target,10,,,,,,,2.7280398,,,,
4.162945,target,10,,,,,,,3.4793788,,,,
[3.1616871000733227],None,10,,,,,,,3.2629896,,,,
2.98741,target,5,,,,,,,1.9401077,,,,
2.6547737,target,5,,,,,,,3.2825038,,,,
2.7364606,target,5,,,,,,,3.9283739,,,,
7.7576775,target,10,,,,,,,3.1126271,,,,
[2.8283357999753207],None,10,,,,,,,3.6696958,,,,
2.5710724,target,5,,,,,,,7.0410083,,,,
1.8046086,target,5,,,,,,,5.0643147,,,,
2.0449661,target,10,,,,,,,4.4464345,,,,
3.1990739,target,10,,,,,,,3.5434426,,,,
2.7019397,target,5,,,,,,,4.112954,,,,
13.0029129,target,10,,,,,,,1.5800067,,,,
2.1371299,target,5,,,,,,,4.1110922,,,,
2.7280398,target,10,,,,,,,2.4367725,,,,
3.4793788,target,10,,,,,,,2.7359363,,,,
3.2629896,target,10,,,,,,,4.3768598,,,,
1.9401077,target,5,,,,,,,2.9889194,,,,
[2.296784499892965],None,10,,,,,,,3.5509843,,,,
3.2825038,target,10,,,,,,,1.5630826,,,,
3.9283739,target,10,,,,,,,3.9154188,,,,
3.1126271,target,10,,,,,,,3.6241732,,,,
3.6696958,target,5,,,,,,,2.6501454,,,,
7.0410083,target,10,,,,,,,2.7399472,,,,
5.0643147,target,10,,,,,,,3.1441562,,,,
4.4464345,target,10,,,,,,,2.2698314,,,,
3.5434426,target,10,,,,,,,1.7971077,,,,
4.112954,target,10,,,,,,,2.8127347,,,,
[2.647650299826637],None,10,,,,,,,5.9094368,,,,
1.5800067,target,10,,,,,,,2.8781362,,,,
4.1110922,target,10,,,,,,,1.7359677,,,,
2.4367725,target,5,,,,,,,4.4109989,,,,
2.7359363,target,5,,,,,,,4.695785,,,,
4.3768598,target,10,,,,,,,2.6893078,,,,
2.9889194,target,5,,,,,,,1.9718225,,,,
3.5509843,target,5,,,,,,,2.9775077,,,,
1.5630826,target,10,,,,,,,2.5771028,,,,
3.9154188,target,10,,,,,,,2.063905,,,,
[0.8643008000217378],None,10,,,,,,,3.579415,,,,
3.6241732,target,5,,,,,,,1.7267003,,,,
2.6501454,target,5,,,,,,,1.7913661,,,,
2.7399472,target,5,,,,,,,2.8009645,,,,
3.1441562,target,10,,,,,,,3.4445637,,,,
2.2698314,target,5,,,,,,,2.2862777,,,,
1.7971077,target,10,,,,,,,2.5156176,,,,
2.8127347,target,10,,,,,,,2.5025768,,,,
5.9094368,target,10,,,,,,,3.1712093,,,,
2.8781362,target,10,,,,,,,3.5186596,,,,
[2.5719999000430107],None,5,,,,,,,3.7924113,,,,
1.7359677,target,5,,,,,,,1.985594,,,,
4.4109989,target,10,,,,,,,4.1597117,,,,
4.695785,target,10,,,,,,,2.4197225,,,,
2.6893078,target,5,,,,,,,4.5641388,,,,
1.9718225,target,5,,,,,,,3.8973488,,,,
2.9775077,target,10,,,,,,,3.1369679,,,,
[2.9564233000855893],None,5,,,,,,,4.400939,,,,
2.5771028,target,10,,,,,,,2.6295241,,,,
2.063905,target,10,,,,,,,1.9026514,,,,
[1.4488301000092179],None,10,,,,,,,3.0347722,,,,
[3.613378999987617],None,10,,,,,,,2.0185639,,,,
3.579415,target,10,,,,,,,3.6124319,,,,
1.7267003,target,10,,,,,,,2.829761,,,,
1.7913661,target,5,,,,,,,3.1877721,,,,
2.8009645,target,5,,,,,,,2.9606562,,,,
3.4445637,target,10,,,,,,,2.8488284,,,,
2.2862777,target,5,,,,,,,4.1782507,,,,
[3.1673260000534356],None,5,,,,,,,2.2982931,,,,
2.5156176,target,10,,,,,,,3.6188467,,,,
2.5025768,target,5,,,,,,,3.0368777,,,,
3.1712093,target,5,,,,,,,2.8271836,,,,
3.5186596,target,5,,,,,,,3.872889,,,,
3.7924113,target,10,,,,,,,2.5583931,,,,
1.985594,target,5,,,,,,,1.6952642,,,,
[2.9354944000951946],None,5,,,,,,,2.3194625,,,,
4.1597117,target,10,,,,,,,2.6543999,,,,
2.4197225,target,5,,,,,,,2.5200693,,,,
4.5641388,target,10,,,,,,,2.8461863,,,,
3.8973488,target,10,,,,,,,2.862274,,,,
3.1369679,target,5,,,,,,,,,,,
4.400939,target,5,,,,,,,,,,,
2.6295241,target,10,,,,,,,,,,,
1.9026514,target,5,,,,,,,,,,,
3.0347722,target,5,,,,,,,,,,,
2.0185639,target,5,,,,,,,,,,,
3.6124319,target,10,,,,,,,,,,,
2.829761,target,10,,,,,,,,,,,
3.1877721,target,5,,,,,,,,,,,
2.9606562,target,10,,,,,,,,,,,
2.8488284,target,10,,,,,,,,,,,
4.1782507,target,10,,,,,,,,,,,
[1.6724254000000656],None,5,,,,,,,,,,,
2.2982931,target,10,,,,,,,,,,,
3.6188467,target,5,,,,,,,,,,,
3.0368777,target,5,,,,,,,,,,,
2.8271836,target,10,,,,,,,,,,,
3.872889,target,5,,,,,,,,,,,
[3.729154299944639],None,10,,,,,,,,,,,
2.5583931,target,5,,,,,,,,,,,
1.6952642,target,10,,,,,,,,,,,
2.3194625,target,5,,,,,,,,,,,
2.6543999,target,5,,,,,,,,,,,
2.5200693,target,5,,,,,,,,,,,
2.8461863,target,10,,,,,,,,,,,
2.862274,target,10,,,,,,,,,,,
