pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,x,0,0,0,z,0,33.17540499987081,None,0,0,0,0,,,,,0.00816520000807941,,0.006158699980005622,0.00816520000807941,1.0005510000046343,1.0005510000046343,1.0005510000046343,1.0005510000046343,1.017493500141427,1.9997002999298275,1.9997002999298275,35.196241500088945,z,0,33.17540499987081,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,1,1,0,x,0,1.3905185998883098,None,0,1,1,1,,,,,35.20612090011127,,35.1965473999735,35.20612090011127,36.205145800020546,36.205145800020546,36.205145800020546,36.205145800020546,36.221773399971426,37.20434639998712,37.20434639998712,38.60483340010978,x,0,1.3905185998883098,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,2,2,0,c,1,0.991579599911347,None,0,2,2,2,,,,,38.619940400123596,,38.6053086000029,38.619940400123596,39.61875610006973,39.61875610006973,39.61875610006973,39.61875610006973,39.635596400126815,40.61805810010992,40.61805810010992,41.617896399926394,c,1,0.991579599911347,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,3,3,0,v,0,1.066498499829322,None,0,3,3,3,,,,,41.63399180001579,,41.618393199983984,41.63399180001579,42.633293699938804,42.633293699938804,42.633293699938804,42.633293699938804,42.633293699938804,43.63248370005749,43.63248370005749,44.715385700110346,v,0,1.066498499829322,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,4,0,1,z,0,3.8500019998755306,None,1,0,4,0,,,,,44.73131539998576,,44.71587960002944,44.73131539998576,45.73051330004819,45.73051330004819,45.73051330004819,45.73051330004819,45.73051330004819,46.73795159999281,46.73795159999281,50.593964100116864,z,0,3.8500019998755306,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,5,1,1,x,0,1.93947790004313,None,1,1,5,1,,,,,50.61003260011785,,50.59444379992783,50.61003260011785,51.608937700046226,51.608937700046226,51.608937700046226,51.608937700046226,51.62563790008426,52.60815929993987,52.60815929993987,54.5569095001556,x,0,1.93947790004313,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,6,2,1,c,1,1.2313296999782324,None,1,2,6,2,,,,,54.57329070009291,,54.55722220009193,54.57329070009291,55.572502800030634,55.572502800030634,55.572502800030634,55.572502800030634,55.572502800030634,56.57158230012283,56.57158230012283,57.804614500142634,c,1,1.2313296999782324,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,7,3,1,v,0,0.9778544001746923,None,1,3,7,3,,,,,57.820876999991015,,57.80511880014092,57.820876999991015,58.8197886000853,58.8197886000853,58.8197886000853,58.8197886000853,58.8197886000853,59.81899890000932,59.81899890000932,60.8022674000822,v,0,0.9778544001746923,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,8,0,2,z,0,2.7907179000321776,None,2,0,8,0,,,,,60.8180770999752,,60.802675100043416,60.8180770999752,61.81762340012938,61.81762340012938,61.81762340012938,61.81762340012938,61.81762340012938,62.81625179992989,62.81625179992989,65.6149957999587,z,0,2.7907179000321776,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,9,1,2,x,0,0.5774739999324083,None,2,1,9,1,,,,,65.63094029994681,,65.61549360002391,65.63094029994681,66.63002160005271,66.63002160005271,66.63002160005271,66.63002160005271,66.63002160005271,67.62902340013534,67.62902340013534,68.21286530001089,x,0,0.5774739999324083,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,10,2,2,c,1,0.4428737999405712,None,2,2,10,2,,,,,68.22849380015396,,68.21335879992694,68.22849380015396,69.22775590000674,69.22775590000674,69.22775590000674,69.22775590000674,69.22775590000674,70.22706470009871,70.22706470009871,70.67752070003189,c,1,0.4428737999405712,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,11,3,2,v,0,0.5135254999622703,None,2,3,11,3,,,,,70.69351599994116,,70.6780084001366,70.69351599994116,71.69257810013369,71.69257810013369,71.69257810013369,71.69257810013369,71.69257810013369,72.69189330004156,72.69189330004156,73.20844600000419,v,0,0.5135254999622703,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,12,0,3,z,0,0.45346090011298656,None,3,0,12,0,,,,,73.2242900999263,,73.20895170001313,73.2242900999263,74.22390100010671,74.22390100010671,74.22390100010671,74.22390100010671,74.22390100010671,75.2228437999729,75.2228437999729,75.69035509997047,z,0,0.45346090011298656,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,13,1,3,x,0,0.41862899996340275,None,3,1,13,1,,,,,75.70576580008492,,75.69082290004008,75.70576580008492,76.70514410012402,76.70514410012402,76.70514410012402,76.70514410012402,76.70514410012402,77.70449350005947,77.70449350005947,78.13796590012498,x,0,0.41862899996340275,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,14,2,3,c,1,0.41693240008316934,None,3,2,14,2,,,,,78.15387989999726,,78.1384648999665,78.15387989999726,79.15329749998637,79.15329749998637,79.15329749998637,79.15329749998637,79.15329749998637,80.15233820001595,80.15233820001595,80.58605849999003,c,1,0.41693240008316934,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,15,3,3,v,0,0.4159641999285668,None,3,3,15,3,,,,,80.60182620002888,,80.58661160012707,80.60182620002888,81.60089990007691,81.60089990007691,81.60089990007691,81.60089990007691,81.60089990007691,82.60041019995697,82.60041019995697,83.01729699992575,v,0,0.4159641999285668,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,16,0,4,z,0,0.6832196000032127,None,4,0,16,0,,,,,83.03344339993782,,83.01781009999104,83.03344339993782,84.03258030000143,84.03258030000143,84.03258030000143,84.03258030000143,84.0491430000402,85.03207130008377,85.03207130008377,85.73153079999611,z,0,0.6832196000032127,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,17,1,4,x,0,1.4538781999144703,None,4,1,17,1,,,,,85.74755010008812,,85.73199390014634,85.74755010008812,86.7471755000297,86.7471755000297,86.7471755000297,86.7471755000297,86.7471755000297,87.74607790005393,87.74607790005393,89.21197429997846,x,0,1.4538781999144703,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,18,2,4,c,1,0.06373749999329448,None,4,2,18,2,,,,,89.22804900002666,,89.21242840006016,89.22804900002666,90.2272101000417,90.2272101000417,90.2272101000417,90.2272101000417,90.2272101000417,91.22648419998586,91.22648419998586,91.29383570002392,c,1,0.06373749999329448,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,19,3,4,v,0,0.1132787000387907,None,4,3,19,3,,,,,91.31022730004042,,91.29429190000519,91.31022730004042,92.30885810009204,92.30885810009204,92.30885810009204,92.30885810009204,92.32575790002011,93.30789649998769,93.30789649998769,93.4247676001396,v,0,0.1132787000387907,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,20,0,5,z,0,0.879338099854067,None,5,0,20,0,,,,,93.44133009994403,,93.42494749999605,93.44133009994403,94.44069950003177,94.44069950003177,94.44069950003177,94.44069950003177,94.44069950003177,95.43978890008293,95.43978890008293,96.32287409994751,z,0,0.879338099854067,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,21,1,5,x,0,0.455478300107643,None,5,1,21,1,,,,,96.33866870007478,,96.32318480010144,96.33866870007478,97.3380283000879,97.3380283000879,97.3380283000879,97.3380283000879,97.3380283000879,98.33714139997028,98.33714139997028,98.80411279993132,x,0,0.455478300107643,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,22,2,5,c,1,0.8586672998499125,None,5,2,22,2,,,,,98.82022910006344,,98.80460419994779,98.82022910006344,99.81960060005076,99.81960060005076,99.81960060005076,99.81960060005076,99.81960060005076,100.81856729998253,100.81856729998253,101.68532219994813,c,1,0.8586672998499125,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,23,3,5,v,0,0.500260500004515,None,5,3,23,3,,,,,101.70124850003049,,101.68589009996504,101.70124850003049,102.70013369992375,102.70013369992375,102.70013369992375,102.70013369992375,102.71671890001744,103.69940649997443,103.69940649997443,104.21643020003103,v,0,0.500260500004515,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,24,0,6,z,0,0.5158240001183003,None,6,0,24,0,,,,,104.23261249996722,,104.21688860002905,104.23261249996722,105.23145409999415,105.23145409999415,105.23145409999415,105.23145409999415,105.24801940005273,106.23088570008986,106.23088570008986,106.74800770008005,z,0,0.5158240001183003,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,25,1,6,x,0,0.5312038999982178,None,6,1,25,1,,,,,106.7638332999777,,106.7485108000692,106.7638332999777,107.76302620000206,107.76302620000206,107.76302620000206,107.76302620000206,107.76302620000206,108.7619894000236,108.7619894000236,109.2952849001158,x,0,0.5312038999982178,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,26,2,6,c,1,0.7815558998845518,None,6,2,26,2,,,,,109.31123810005374,,109.29571880004369,109.31123810005374,110.31089460011572,110.31089460011572,110.31089460011572,110.31089460011572,110.31089460011572,111.30983550008386,111.30983550008386,112.09307579998858,c,1,0.7815558998845518,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
150,z,27,3,6,v,0,0.48091630009002984,None,6,3,27,3,,,,,112.10924310004339,,112.09356150007807,112.10924310004339,113.10818110010587,113.10818110010587,113.10818110010587,113.10818110010587,113.12500350014307,114.10748480004258,114.10748480004258,114.59115920006298,v,0,0.48091630009002984,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-150,x,28,0,7,z,0,0.9909451000858098,None,7,0,28,0,,,,,114.607127700001,,114.59165369998664,114.607127700001,115.60653570014983,115.60653570014983,115.60653570014983,115.60653570014983,115.60653570014983,116.60571729997173,116.60571729997173,117.60557710006833,z,0,0.9909451000858098,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
-50,v,29,1,7,x,0,0.9251631000079215,None,7,1,29,1,,,,,117.62131329998374,,117.60606879997067,117.62131329998374,118.62078310013749,118.62078310013749,118.62078310013749,118.62078310013749,118.62078310013749,119.62000460014679,119.62000460014679,120.55315420008264,x,0,0.9251631000079215,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
50,c,30,2,7,c,1,0.7809813998173922,None,7,2,30,2,,,,,120.568881199928,,120.55365220014937,120.568881199928,121.56788989994675,121.56788989994675,121.56788989994675,121.56788989994675,121.56788989994675,122.56757259997539,122.56757259997539,123.35054150014184,c,1,0.7809813998173922,None,,,,,354529,001,2025-10-02_21h27.58.785,motor sequence,,2025.1.1,60.163367577565005,2025-10-02 21h28.03.270543 +0530,
