word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.01385450002271682,,0.010742700018454343,0.01385450002271682,1.0008799000061117,,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
chair,1,1,0,0,1,1,1,1.0091436000075191,,1.0048175000119954,1.0091436000075191,1.9924373000394553,2.0004945000400767,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
music,2,2,0,0,2,2,2,2.0004945000400767,,1.995707600028254,2.0004945000400767,2.9843394000199623,2.9923552000545897,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
dream,3,3,0,0,3,3,3,2.9923552000545897,,2.9872695000376552,2.9923552000545897,3.9759930000291206,3.9840408000163734,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
paper,4,4,0,0,4,4,4,3.9840408000163734,,3.978839300049003,3.9923595000291243,4.976012600003742,4.984009100007825,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
tiger,5,5,0,0,5,5,5,4.984009100007825,,4.979250200034585,4.992239600047469,5.977119000046514,5.98394260002533,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
window,6,6,0,0,6,6,6,5.98394260002533,,5.978801500052214,5.992322100035381,6.975819400046021,6.9840113000245765,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
flower,7,7,0,0,7,7,7,6.9840113000245765,,6.980604800046422,6.992449400015175,7.976514200039674,7.9854063000530005,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
book,8,8,0,0,8,8,8,7.9854063000530005,,7.979030900052749,7.992579500016291,8.975886600033846,8.984131300006993,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
lamp,9,9,0,0,9,9,9,8.984131300006993,,8.978726300003473,8.992348500003573,9.97636130003957,9.983795700012706,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
ocean,10,10,0,0,10,10,10,9.983795700012706,,9.981062700040638,9.99261590000242,10.975990500010084,10.983769800048321,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
phone,11,11,0,0,11,11,11,10.983769800048321,,10.978343400056474,10.99229170003673,11.975738400011323,11.98395140003413,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
candle,12,12,0,0,12,12,12,11.98395140003413,,11.979088600026444,11.992395900015254,12.975851900002453,12.984095900028478,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
spoon,13,13,0,0,13,13,13,12.984095900028478,,12.978987200011034,12.992205000016838,13.975731500016991,13.983965100022033,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
shoe,14,14,0,0,14,14,14,13.983965100022033,,13.978482100006659,13.992243800021242,14.97556180000538,14.983517800050322,,,,,,,,,,,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
,,,,,,,,,,,,,,14.976094500045292,14.994161200011149,14.994161200011149,14.994161200011149,28.71786160004558,lamp candle spoon shoe apple dream,return,13.72210090002045,None,lamp candle spoon shoe apple dream,,,,,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,28.7179446000373,28.72537680005189,30.717147700022906,30.709382500033826,991242,001,2025-11-24_01h00.01.852,Serial Position Effect_SoloProject,,2025.1.1,119.25773981214589,2025-11-24 01h00.04.958637 +0530,
