pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,x,0,0,0,z,0,12.21401400002651,None,0,0,0,0,,,,,0.008076300146058202,,0.0060448001604527235,0.008076300146058202,1.0075958999805152,1.0075958999805152,1.0075958999805152,1.0075958999805152,1.0075958999805152,2.006771400105208,2.006771400105208,14.238018600037321,z,0,12.21401400002651,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,1,1,0,x,0,1.3434124998748302,None,0,1,1,1,,,,,14.246177199995145,,14.238442300120369,14.246177199995145,15.245868900092319,15.245868900092319,15.245868900092319,15.245868900092319,15.245868900092319,16.24496420007199,16.24496420007199,17.594085599994287,x,0,1.3434124998748302,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,2,2,0,c,1,1.2464227001182735,None,0,2,2,2,,,,,17.610210499959067,,17.59442810015753,17.610210499959067,18.609307100065053,18.609307100065053,18.609307100065053,18.609307100065053,18.609307100065053,19.60863000014797,19.60863000014797,20.858046600129455,c,1,1.2464227001182735,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,3,3,0,v,0,0.9598218000028282,None,0,3,3,3,,,,,20.87403480010107,,20.858463700162247,20.87403480010107,21.873794000130147,21.873794000130147,21.873794000130147,21.873794000130147,21.873794000130147,22.872941000154242,22.872941000154242,23.83943980000913,v,0,0.9598218000028282,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,4,0,1,z,0,4.048729000147432,None,1,0,4,0,,,,,23.85541020007804,,23.839944400126114,23.85541020007804,24.854184600058943,24.854184600058943,24.854184600058943,24.854184600058943,24.854184600058943,25.853683599969372,25.853683599969372,29.91765319998376,z,0,4.048729000147432,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,5,1,1,x,0,2.5775643000379205,None,1,1,5,1,,,,,29.933642300078645,,29.918224100023508,29.933642300078645,30.93268460012041,30.93268460012041,30.93268460012041,30.93268460012041,30.93268460012041,31.93209270015359,31.93209270015359,34.51383690000512,x,0,2.5775643000379205,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
50,c,6,2,1,c,1,9.324682699982077,None,1,2,6,2,,,,,34.529739500023425,,34.514333999948576,34.529739500023425,35.52916279993951,35.52916279993951,35.52916279993951,35.52916279993951,35.52916279993951,36.528378900140524,36.528378900140524,45.85418909997679,c,1,9.324682699982077,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
150,z,7,3,1,v,0,1.1822499001864344,None,1,3,7,3,,,,,45.870322100119665,,45.85437269997783,45.870322100119665,46.86961819999851,46.86961819999851,46.86961819999851,46.86961819999851,46.86961819999851,47.86849160003476,47.86849160003476,49.051825399976224,v,0,1.1822499001864344,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-150,x,8,0,2,z,0,1.0746976998634636,None,2,0,8,0,,,,,49.067815700080246,,49.05232250015251,49.067815700080246,50.08344770013355,50.06685689999722,50.06685689999722,50.06685689999722,50.06685689999722,51.066413700114936,51.066413700114936,52.14903810014948,z,0,1.0746976998634636,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
-50,v,9,1,2,x,0,0.72383280005306,None,2,1,9,1,,,,,52.16512160003185,,52.149373300140724,52.16512160003185,53.16446300013922,53.16446300013922,53.16446300013922,53.16446300013922,53.16446300013922,54.16342839994468,54.16342839994468,54.89703230001032,x,0,0.72383280005306,None,,,,,392020,001,2025-10-02_22h54.08.314,motor sequence,,2025.1.1,60.00513642290505,2025-10-02 22h54.12.177838 +0530,
