study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
book,0,0,0,1.207407407,2.3821537,,,,,,,,,,0,0,0,2,,,,,0.0232189,,0.0093795,0.0232189,0.0232189,2.4069172,1.207407407,2.3821537,,,,,,,,,,,,,,,379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
tiger,1,1,0,1.081481481,2.8759022,,,,,,,,,,0,1,1,1,,,,,2.4230451,,2.4134384,2.4230451,2.4230451,5.3049773,1.081481481,2.8759022,,,,,,,,,,,,,,,379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
cushion,2,2,0,1.081481481,1.3438926,,,,,,,,,,0,2,2,3,,,,,5.3209346,,5.3102059,5.3209346,5.3209346,6.6701301,1.081481481,1.3438926,,,,,,,,,,,,,,,379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
piano,3,3,0,1.081481481,0.9302239,,,,,,,,,,0,3,3,4,,,,,6.6862993,,6.6733471,6.6862993,6.6862993,7.6212698,1.081481481,0.9302239,,,,,,,,,,,,,,,379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
vase,4,4,0,1.081481481,0.745597,,,,,,,,,,0,4,4,0,,,,,7.6354023,,7.6242879,7.6354023,7.6354023,8.3856597,1.081481481,0.745597,,,,,,,,,,,,,,,379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,0,0,0,,,_a_e,"vase
",[np.float64(-0.04537037037037037)],[np.float64(-0.31203703703703706)],[1],[0],[0],[5.636751099955291],['text_3'],,,,,0,0,0,0,8.4249722,,,,,,,,8.3942481,8.4249722,8.4249722,8.4249722,0.00859,14.0311634,"vase
",[np.float64(-0.04537037037037037)],[np.float64(-0.31203703703703706)],[1],[0],[0],[5.636751099955291],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,1,1,0,,,_o_s_,,[np.float64(-0.04537037037037037)],[np.float64(-0.31203703703703706)],[1],[0],[0],[2.9620902000460774],['text_3'],,,,,0,1,1,8,14.0468829,,,,,,,,14.0328608,14.0468829,14.0468829,14.0468829,0.0016236,16.9951062,,[np.float64(-0.04537037037037037)],[np.float64(-0.31203703703703706)],[1],[0],[0],[2.9620902000460774],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,2,2,0,,,o_a_n_e,oraangw,[],[],[],[],[],[],[],,,,,0,2,2,9,17.0111107,,,,,,,,16.99689,17.0111107,17.0111107,17.0111107,0.001716,27.0029999,oraangw,[],[],[],[],[],[],[],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,3,3,0,,,_ea_o_,,[np.float64(0.028703703703703703)],[np.float64(-0.29259259259259257)],[1],[0],[0],[6.243074500001967],['text_3'],,,,,0,3,3,5,27.0195209,,,,,,,,27.0052238,27.0195209,27.0195209,27.0195209,0.0100627,33.2485415,,[np.float64(0.028703703703703703)],[np.float64(-0.29259259259259257)],[1],[0],[0],[6.243074500001967],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,4,4,0,,,_ia_n_,piano,[np.float64(-0.025)],[np.float64(-0.2935185185185185)],[1],[0],[0],[3.395593099994585],['text_3'],,,,,0,4,4,4,33.2646312,,,,,,,,33.2502108,33.2646312,33.2646312,33.2646312,0.0015953,36.6459812,piano,[np.float64(-0.025)],[np.float64(-0.2935185185185185)],[1],[0],[0],[3.395593099994585],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,5,5,0,,,_p_a_d_,,[np.float64(-0.05185185185185185)],[np.float64(-0.31203703703703706)],[1],[0],[0],[6.2908715000376105],['text_3'],,,,,0,5,5,7,36.6619687,,,,,,,,36.6497209,36.6619687,36.6619687,36.6619687,0.0036454,42.9408767,,[np.float64(-0.05185185185185185)],[np.float64(-0.31203703703703706)],[1],[0],[0],[6.2908715000376105],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,6,6,0,,,c_m_r_,camera,[np.float64(-0.05555555555555555)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.078034900012426],['text_3'],,,,,0,6,6,6,42.9570474,,,,,,,,42.9424173,42.9570474,42.9570474,42.9570474,0.0014782,47.0206598,camera,[np.float64(-0.05555555555555555)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.078034900012426],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,7,7,0,,,c_s_h_o_n,cushion,[np.float64(-0.07314814814814814)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.0953153000446036],['text_3'],,,,,0,7,7,3,47.0363175,,,,,,,,47.022864,47.0363175,47.0363175,47.0363175,0.002095,50.1184058,cushion,[np.float64(-0.07314814814814814)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.0953153000446036],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,8,8,0,,,t_g_r,tiger,[np.float64(-0.08148148148148149)],[np.float64(-0.30462962962962964)],[1],[0],[0],[2.7447665000800043],['text_3'],,,,,0,8,8,1,50.1340344,,,,,,,,50.120767,50.1340344,50.1340344,50.1340344,0.002257,52.8657252,tiger,[np.float64(-0.08148148148148149)],[np.float64(-0.30462962962962964)],[1],[0],[0],[2.7447665000800043],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,9,9,0,,,_oo_,door,[np.float64(-0.08611111111111111)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.27785179996863],['text_3'],,,,,0,9,9,2,52.8815303,,,,,,,,52.8671914,52.8815303,52.8815303,52.8815303,0.0014072,58.1452538,door,[np.float64(-0.08611111111111111)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.27785179996863],['text_3'],379804,1,2025-10-14_16h13.12.433,word priminig,,2025.1.1,59.91687131,2025-10-14 16h13.16.148044 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prop hit from study list,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prop hit from nonprimed word,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,prime score,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
